"Year,""Trade.Flow"",""Reporter"",""Commodity.Code"",""Trade.Value..US.."",""Group"""
"2017,""Imports"",""Armenia"",202,4225,""CIS"""
"2017,""Imports"",""Armenia"",202,4600,""CIS"""
"2017,""Imports"",""Armenia"",202,10088,""CIS"""
"2017,""Imports"",""Armenia"",202,8124,""CIS"""
"2017,""Imports"",""Armenia"",202,13228,""CIS"""
"2017,""Imports"",""Armenia"",202,7256,""CIS"""
"2017,""Imports"",""Armenia"",202,9439,""CIS"""
"2017,""Imports"",""Armenia"",202,12974,""CIS"""
"2017,""Imports"",""Armenia"",202,12466,""CIS"""
"2017,""Imports"",""Armenia"",202,14192,""CIS"""
"2017,""Imports"",""Armenia"",202,10044,""CIS"""
"2017,""Imports"",""Armenia"",202,6137,""CIS"""
"2017,""Imports"",""Kyrgyzstan"",202,518,""CIS"""
"2017,""Imports"",""Kyrgyzstan"",202,529,""CIS"""
"2017,""Imports"",""Kyrgyzstan"",202,216,""CIS"""
"2017,""Imports"",""Kyrgyzstan"",202,523,""CIS"""
"2017,""Imports"",""Kyrgyzstan"",202,12920,""CIS"""
"2017,""Imports"",""Kyrgyzstan"",202,5406,""CIS"""
"2017,""Imports"",""Kyrgyzstan"",202,12827,""CIS"""
"2017,""Imports"",""Kyrgyzstan"",202,1401,""CIS"""
"2017,""Exports"",""Rep. of Moldova"",202,262843,""CIS"""
"2017,""Exports"",""Rep. of Moldova"",202,458255,""CIS"""
"2017,""Exports"",""Rep. of Moldova"",202,571937,""CIS"""
"2017,""Exports"",""Rep. of Moldova"",202,524179,""CIS"""
"2017,""Exports"",""Rep. of Moldova"",202,318017,""CIS"""
"2017,""Exports"",""Rep. of Moldova"",202,404350,""CIS"""
"2017,""Exports"",""Rep. of Moldova"",202,357313,""CIS"""
"2017,""Exports"",""Rep. of Moldova"",202,130511,""CIS"""
"2017,""Exports"",""Rep. of Moldova"",202,674159,""CIS"""
"2017,""Exports"",""Rep. of Moldova"",202,440926,""CIS"""
"2017,""Exports"",""Rep. of Moldova"",202,318935,""CIS"""
"2017,""Exports"",""Rep. of Moldova"",202,270302,""CIS"""
"2017,""Exports"",""Ukraine"",202,34,""CIS"""
"2017,""Exports"",""Ukraine"",202,775,""CIS"""
"2017,""Exports"",""Ukraine"",202,81,""CIS"""
"2017,""Exports"",""Ukraine"",202,334,""CIS"""
"2017,""Exports"",""Ukraine"",202,439,""CIS"""
"2017,""Exports"",""Ukraine"",202,23,""CIS"""
"2017,""Exports"",""Ukraine"",202,156,""CIS"""
